main_category,code,url,product_name,nutrition_grade_fr,energy,proteins,stores_y
Meat,3181238951016,https://fr.openfoodfacts.org/produit/3181238951016/steak-hache-15-mat-gr-charal-15-bio,Steak haché 15% Mat.gr,c,900,20,-
Meat,3181238941444,https://fr.openfoodfacts.org/produit/3181238941444/bifteck-charal,Bifteck,a,473,23,-
Meat,3181232220569,https://fr.openfoodfacts.org/produit/3181232220569/steak-hache-charal,Steak haché  Charal,c,883,19,
Meat,3254560134966,https://fr.openfoodfacts.org/produit/3254560134966/cheveux-d-anges-charolais-auchan,Cheveux d'anges charolais,b,736,19,Auchan
Meat,3263851930415,https://fr.openfoodfacts.org/produit/3263851930415/steack-hache-5-franprix,Steack haché 5%,a,540,21,
Meat,3181232519137,https://fr.openfoodfacts.org/produit/3181232519137/l-authentique-pur-boeuf-charal,L'authentique Pur Boeuf,b,711,20,Franprix
Meat,3181232519137,https://fr.openfoodfacts.org/produit/3181232519137/l-authentique-pur-boeuf-charal,L'authentique Pur Boeuf,b,711,20,Carrefour Market
Meat,3181232519137,https://fr.openfoodfacts.org/produit/3181232519137/l-authentique-pur-boeuf-charal,L'authentique Pur Boeuf,b,711,20,Magasins U
Processed meat,3095756947010,https://fr.openfoodfacts.org/produit/3095756947010/le-tranche-fin-de-boeuf-dore-au-four-6-tranches-fines-fleury-michon,Le Tranché Fin de Boeuf Doré au four - 6 tranches fines,c,498,21,Cora
Meat,3095753020013,https://fr.openfoodfacts.org/produit/3095753020013/roti-de-boeuf-cuit-dore-au-four-4-tranches-fleury-michon,Rôti de boeuf cuit doré au four - 4 tranches,c,520,21,Franprix
Meat,3095753020013,https://fr.openfoodfacts.org/produit/3095753020013/roti-de-boeuf-cuit-dore-au-four-4-tranches-fleury-michon,Rôti de boeuf cuit doré au four - 4 tranches,c,520,21,Magasins U
Meat,3095753020013,https://fr.openfoodfacts.org/produit/3095753020013/roti-de-boeuf-cuit-dore-au-four-4-tranches-fleury-michon,Rôti de boeuf cuit doré au four - 4 tranches,c,520,21,Auchan
